species_id,year,endangered_status
111423,2002,Vulnerable
111423,1996,Lower Risk/near threatened
111423,1994,Indeterminate
111423,1990,Indeterminate
111423,1988,Indeterminate
111423,1986,Indeterminate
100395,2020,Near Threatened
100395,2012,Near Threatened
100395,2011,Near Threatened
100395,2008,Near Threatened
100395,2003,Near Threatened
100395,2002,Near Threatened
100395,1996,Lower Risk/conservation dependent
100395,1994,Vulnerable
100395,1965,"""Status inadequately known-survey required or data sought"""
109924,2019,Endangered
109924,2016,Vulnerable
109924,2008,Vulnerable
109924,2000,Endangered
109924,1996,Vulnerable
115460,2020,Vulnerable
75832,2021,Vulnerable
75832,2012,Vulnerable
75832,1996,Vulnerable
75832,1994,Vulnerable
75832,1990,Endangered
75832,1988,Endangered
75832,1986,Endangered
75832,1982,Endangered
109990,2016,Near Threatened
109990,2012,Near Threatened
109990,2008,Near Threatened
109990,2007,Near Threatened
109990,2004,Near Threatened
109990,2000,Lower Risk/near threatened
109990,1996,Vulnerable
109990,1994,Vulnerable
109990,1988,Threatened
109991,2016,Vulnerable
109991,2013,Vulnerable
109991,2012,Vulnerable
109991,2008,Vulnerable
109991,2004,Vulnerable
109991,2000,Vulnerable
109991,1996,Vulnerable
109991,1994,Vulnerable
109991,1988,Threatened
50519,2018,Least Concern
50519,2017,Least Concern
50519,2016,Near Threatened
50519,2014,Near Threatened
115382,2020,Critically Endangered
115382,2014,Critically Endangered
115382,2008,Vulnerable
115382,2000,Vulnerable
115382,1996,Vulnerable
115382,1994,Endangered
115382,1990,Endangered
115382,1988,Vulnerable
115382,1986,Vulnerable
115382,1965,"""Status inadequately known-survey required or data sought"""
62740,2021,Least Concern
62740,2016,Least Concern
62740,2015,Least Concern
62740,2014,Least Concern
110296,2016,Vulnerable
110296,2012,Vulnerable
110296,2008,Vulnerable
110296,2007,Vulnerable
110296,2006,Vulnerable
110296,2004,Vulnerable
110296,2000,Vulnerable
110296,1996,Lower Risk/conservation dependent
110296,1994,Lower Risk/conservation dependent
110296,1988,Threatened
121107,2018,Vulnerable
121107,2016,Vulnerable
121107,2012,Vulnerable
121107,2008,Vulnerable
121107,2006,Vulnerable
121107,2004,Vulnerable
121107,2000,Vulnerable
121107,1996,Vulnerable
121107,1994,Vulnerable
121107,1988,Threatened
96625,2020,Endangered
96625,2008,Endangered
96625,2000,Lower Risk/near threatened
96625,1996,Lower Risk/near threatened
